#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2014-01-01 00:00:00+00:00 2014-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
JFK,2014-01-01 16:51,-73.7622,40.6386,33.08,12.92,42.84,280.00,10.00,0.00,30.39,1029.00,10.00,M,FEW,BKN,BKN,M,11000.00,17000.00,25000.00,M,M,M,M,M,M,M,M,24.32,KJFK 011651Z 28010KT 10SM FEW110 BKN170 BKN250 01/M11 A3039 RMK AO2 SLP290 T00061106
JFK,2014-01-01 17:51,-73.7622,40.6386,33.08,15.08,47.10,270.00,7.00,0.00,30.38,1028.60,10.00,M,BKN,BKN,M,M,15000.00,25000.00,M,M,M,M,M,M,M,M,M,26.10,KJFK 011751Z 27007KT 10SM BKN150 BKN250 01/M09 A3038 RMK AO2 SLP286 T00061094 10006 21044 58016
JFK,2014-01-01 18:51,-73.7622,40.6386,33.08,15.98,48.98,250.00,10.00,0.00,30.37,1028.30,10.00,M,FEW,BKN,BKN,M,14000.00,18000.00,25000.00,M,M,M,M,M,M,M,M,24.32,KJFK 011851Z 25010KT 10SM FEW140 BKN180 BKN250 01/M09 A3037 RMK AO2 SLP283 T00061089
JFK,2014-01-01 19:51,-73.7622,40.6386,33.08,15.98,48.98,240.00,5.00,0.00,30.35,1027.70,10.00,M,FEW,SCT,BKN,BKN,4000.00,10000.00,17000.00,25000.00,M,M,M,M,M,M,M,27.68,KJFK 011951Z 24005KT 10SM FEW040 SCT100 BKN170 BKN250 01/M09 A3035 RMK AO2 SLP277 T00061089
JFK,2014-01-01 20:51,-73.7622,40.6386,33.08,15.98,48.98,260.00,4.00,0.00,30.35,1027.80,10.00,M,BKN,BKN,M,M,11000.00,17000.00,M,M,M,M,M,M,M,M,M,28.68,KJFK 012051Z 26004KT 10SM BKN110 BKN170 01/M09 A3035 RMK AO2 SLP278 T00061089 55007
JFK,2014-01-01 21:51,-73.7622,40.6386,32.00,17.06,53.60,0.00,0.00,0.00,30.34,1027.50,10.00,M,FEW,BKN,BKN,M,3500.00,11000.00,18000.00,M,M,M,M,M,M,M,M,32.00,KJFK 012151Z 00000KT 10SM FEW035 BKN110 BKN180 00/M08 A3034 RMK AO2 SLP275 T00001083 $
JFK,2014-01-01 22:51,-73.7622,40.6386,32.00,17.06,53.60,60.00,4.00,0.00,30.34,1027.30,10.00,M,FEW,SCT,BKN,M,3500.00,11000.00,19000.00,M,M,M,M,M,M,M,M,27.42,KJFK 012251Z 06004KT 10SM FEW035 SCT110 BKN190 00/M08 A3034 RMK AO2 SLP273 T00001083 $
JFK,2014-01-01 23:51,-73.7622,40.6386,33.08,17.06,51.33,60.00,6.00,0.00,30.34,1027.30,10.00,M,SCT,OVC,M,M,12000.00,19000.00,M,M,M,M,M,M,M,M,M,26.83,KJFK 012351Z 06006KT 10SM SCT120 OVC190 01/M08 A3034 RMK AO2 SLP273 T00061083 10011 20000 55005 $
JFK,2014-01-02 00:51,-73.7622,40.6386,32.00,17.96,55.72,60.00,5.00,0.00,30.34,1027.30,10.00,M,BKN,OVC,M,M,12000.00,19000.00,M,M,M,M,M,M,M,M,M,26.40,KJFK 020051Z 06005KT 10SM BKN120 OVC190 00/M08 A3034 RMK AO2 SLP273 T00001078 $
JFK,2014-01-02 01:51,-73.7622,40.6386,32.00,17.06,53.60,60.00,6.00,0.00,30.32,1026.70,10.00,M,BKN,OVC,M,M,3100.00,12000.00,M,M,M,M,M,M,M,M,M,25.53,KJFK 020151Z 06006KT 10SM BKN031 OVC120 00/M08 A3032 RMK AO2 SLP267 T00001083 $
JFK,2014-01-02 02:16,-73.7622,40.6386,32.00,17.60,54.87,60.00,6.00,0.00,30.32,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,25.53,KJFK 020216Z 06006KT 10SM OVC029 00/M08 A3032 RMK AO2 $
JFK,2014-01-02 02:51,-73.7622,40.6386,32.00,15.98,51.15,60.00,8.00,0.00,30.30,1026.10,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,24.11,KJFK 020251Z 06008KT 10SM OVC029 00/M09 A3030 RMK AO2 SLP261 T00001089 58013 $
JFK,2014-01-02 03:51,-73.7622,40.6386,32.00,15.98,51.15,50.00,8.00,0.00,30.30,1025.90,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,24.11,KJFK 020351Z 05008KT 10SM OVC027 00/M09 A3030 RMK AO2 SLP259 T00001089 $
JFK,2014-01-02 04:51,-73.7622,40.6386,33.08,17.96,53.36,50.00,7.00,0.00,30.27,1025.10,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,26.10,KJFK 020451Z 05007KT 10SM OVC023 01/M08 A3027 RMK AO2 SLP251 T00061078 400111044 $
JFK,2014-01-02 05:51,-73.7622,40.6386,33.08,19.04,55.89,60.00,11.00,0.00,30.24,1023.90,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,23.83,KJFK 020551Z 06011KT 10SM OVC023 01/M07 A3024 RMK AO2 SLP239 T00061072 10006 20000 58022 $
JFK,2014-01-02 06:51,-73.7622,40.6386,33.08,19.04,55.89,60.00,11.00,0.00,30.22,1023.40,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,23.83,KJFK 020651Z 06011KT 10SM OVC021 01/M07 A3022 RMK AO2 SLP234 T00061072 $
JFK,2014-01-02 07:51,-73.7622,40.6386,33.08,19.94,58.08,50.00,12.00,0.00,30.19,1022.30,10.00,M,BKN,OVC,M,M,2100.00,2700.00,M,M,M,M,M,M,M,M,M,23.38,KJFK 020751Z 05012KT 10SM BKN021 OVC027 01/M07 A3019 RMK AO2 SLP223 T00061067 $
JFK,2014-01-02 08:51,-73.7622,40.6386,32.00,21.92,65.97,40.00,13.00,0.0001,30.16,1021.40,9.00,M,OVC,M,M,M,1900.00,M,M,M,-SN,M,M,M,M,M,M,21.57,KJFK 020851Z 04013KT 9SM -SN OVC019 00/M06 A3016 RMK AO2 SLP214 SNB32 P0000 60000 T00001056 58025 $
JFK,2014-01-02 09:51,-73.7622,40.6386,30.92,24.98,78.35,30.00,13.00,0.0001,30.14,1020.50,6.00,M,OVC,M,M,M,1700.00,M,M,M,-SN,M,M,M,M,M,M,20.18,KJFK 020951Z 03013KT 6SM -SN OVC017 M01/M04 A3014 RMK AO2 SLP205 P0000 T10061039 $
JFK,2014-01-02 10:51,-73.7622,40.6386,30.02,24.98,81.27,30.00,17.00,0.0001,30.13,1020.20,10.00,M,OVC,M,M,M,1500.00,M,M,M,-SN,M,M,M,M,M,M,17.48,KJFK 021051Z 03017KT 10SM -SN OVC015 M01/M04 A3013 RMK AO2 SLP202 P0000 T10111039 $
JFK,2014-01-02 11:51,-73.7622,40.6386,30.02,24.08,78.27,40.00,13.00,0.0001,30.12,1019.70,10.00,M,OVC,M,M,M,1500.00,M,M,M,-SN,M,M,M,M,M,M,19.03,KJFK 021151Z 04013KT 10SM -SN OVC015 M01/M04 A3012 RMK AO2 SLP197 SNE23B45 931001 P0000 60000 T10111044 10006 21011 56017 $
JFK,2014-01-02 12:17,-73.7622,40.6386,30.20,24.80,80.07,30.00,17.00,0.0001,30.10,M,10.00,23.00,OVC,M,M,M,1300.00,M,M,M,-SN,M,M,M,M,M,M,17.72,KJFK 021217Z 03017G23KT 10SM -SN OVC013 M01/M04 A3010 RMK AO2 P0000 $
JFK,2014-01-02 12:51,-73.7622,40.6386,28.94,24.08,81.80,30.00,15.00,0.0001,30.09,1018.90,10.00,M,OVC,M,M,M,1300.00,M,M,M,-SN,M,M,M,M,M,M,16.81,KJFK 021251Z 03015KT 10SM -SN OVC013 M02/M04 A3009 RMK AO2 SLP189 P0000 T10171044 $
JFK,2014-01-02 13:51,-73.7622,40.6386,28.94,23.00,78.18,30.00,18.00,0.0001,30.09,1018.90,10.00,24.00,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,27.00,30.00,2014-01-02 12:59,15.72,KJFK 021351Z 03018G24KT 10SM OVC013 M02/M05 A3009 RMK AO2 PK WND 03027/1259 SNE22 SLP189 P0000 T10171050 $
JFK,2014-01-02 14:51,-73.7622,40.6386,28.94,24.08,81.80,30.00,18.00,0.00,30.07,1018.10,10.00,23.00,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,26.00,40.00,2014-01-02 14:07,15.72,KJFK 021451Z 03018G23KT 10SM OVC011 M02/M04 A3007 RMK AO2 PK WND 04026/1407 SLP181 60000 T10171044 57016 $
JFK,2014-01-02 15:51,-73.7622,40.6386,28.94,23.00,78.18,30.00,18.00,0.00,30.03,1016.80,10.00,25.00,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,15.72,KJFK 021551Z 03018G25KT 10SM OVC013 M02/M05 A3003 RMK AO2 SLP168 T10171050 $
JFK,2014-01-02 16:37,-73.7622,40.6386,28.40,23.00,79.92,30.00,18.00,0.0001,29.99,M,8.00,23.00,OVC,M,M,M,1300.00,M,M,M,-FZDZ,M,M,M,M,M,M,15.01,KJFK 021637Z 03018G23KT 8SM -FZDZ OVC013 M02/M05 A2999 RMK AO2 FZDZB37 P0000 $
JFK,2014-01-02 16:51,-73.7622,40.6386,28.04,23.00,81.11,30.00,16.00,0.0001,29.97,1014.70,8.00,23.00,OVC,M,M,M,1300.00,M,M,M,-FZDZ,M,M,M,M,M,M,15.26,KJFK 021651Z 03016G23KT 8SM -FZDZ OVC013 M02/M05 A2997 RMK AO2 FZDZB37 PRESFR SLP147 P0000 T10221050 $
JFK,2014-01-02 17:51,-73.7622,40.6386,28.04,23.00,81.11,20.00,16.00,0.0001,29.94,1013.90,8.00,M,OVC,M,M,M,1100.00,M,M,M,-FZDZ,M,M,M,26.00,30.00,2014-01-02 17:20,15.26,KJFK 021751Z 02016KT 8SM -FZDZ OVC011 M02/M05 A2994 RMK AO2 PK WND 03026/1720 SLP139 931000 P0000 60000 T10221050 11011 21022 56042 $
JFK,2014-01-02 18:05,-73.7622,40.6386,28.40,23.00,79.92,30.00,19.00,0.0001,29.92,M,8.00,M,OVC,M,M,M,900.00,M,M,M,-FZDZ,M,M,M,M,M,M,14.68,KJFK 021805Z 03019KT 8SM -FZDZ OVC009 M02/M05 A2992 RMK AO2 PRESFR P0000 $
JFK,2014-01-02 18:51,-73.7622,40.6386,26.96,21.92,81.03,30.00,17.00,0.0001,29.90,1012.40,10.00,M,OVC,M,M,M,900.00,M,M,M,-FZDZ,M,M,M,M,M,M,13.47,KJFK 021851Z 03017KT 10SM -FZDZ OVC009 M03/M06 A2990 RMK AO2 SLP124 P0000 T10281056 $
JFK,2014-01-02 19:45,-73.7622,40.6386,26.60,21.20,79.77,40.00,17.00,0.0001,29.87,M,10.00,22.00,OVC,M,M,M,900.00,M,M,M,M,M,M,M,26.00,30.00,2014-01-02 19:34,13.00,KJFK 021945Z 04017G22KT 10SM OVC009 M03/M06 A2987 RMK AO2 PK WND 03026/1934 FZDZE44 P0000 $
JFK,2014-01-02 19:51,-73.7622,40.6386,26.96,21.92,81.03,30.00,15.00,0.0001,29.88,1011.60,10.00,23.00,OVC,M,M,M,900.00,M,M,M,M,M,M,M,26.00,30.00,2014-01-02 19:34,14.25,KJFK 021951Z 03015G23KT 10SM OVC009 M03/M06 A2988 RMK AO2 PK WND 03026/1934 FZDZE44 SLP116 P0000 T10281056 $
JFK,2014-01-02 20:10,-73.7622,40.6386,26.60,21.20,79.77,30.00,18.00,0.00,29.85,M,10.00,24.00,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,12.64,KJFK 022010Z 03018G24KT 10SM OVC011 M03/M06 A2985
JFK,2014-01-02 20:51,-73.7622,40.6386,26.96,21.92,81.03,30.00,16.00,0.00,29.86,1010.90,10.00,24.00,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,13.85,KJFK 022051Z 03016G24KT 10SM OVC011 M03/M06 A2986 RMK AO2 SLP109 60000 T10281056 56015 $
JFK,2014-01-02 21:51,-73.7622,40.6386,26.96,21.92,81.03,30.00,17.00,0.00,29.82,1009.80,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,28.00,20.00,2014-01-02 21:16,13.47,KJFK 022151Z 03017KT 10SM OVC011 M03/M06 A2982 RMK AO2 PK WND 02028/2116 SLP098 T10281056
JFK,2014-01-02 22:51,-73.7622,40.6386,26.06,21.02,80.96,40.00,16.00,0.0001,29.80,1009.20,10.00,26.00,OVC,M,M,M,1100.00,M,M,M,-SN,M,M,M,26.00,30.00,2014-01-02 22:44,12.68,KJFK 022251Z 04016G26KT 10SM -SN OVC011 M03/M06 A2980 RMK AO2 PK WND 03026/2244 SNB19 SLP092 P0000 T10331061
JFK,2014-01-02 23:41,-73.7622,40.6386,24.80,21.20,85.96,40.00,16.00,0.0001,29.78,M,1.50,22.00,OVC,M,M,M,1100.00,M,M,M,-SN BR,M,M,M,M,M,M,11.03,KJFK 022341Z 04016G22KT 1 1/2SM -SN BR OVC011 M04/M06 A2978 RMK AO2 SFC VIS 2 1/2 P0000
JFK,2014-01-02 23:51,-73.7622,40.6386,24.98,21.02,84.67,30.00,17.00,0.0001,29.78,1008.20,1.50,23.00,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,M,M,10.88,KJFK 022351Z 03017G23KT 1 1/2SM -SN BR OVC013 M04/M06 A2978 RMK AO2 SFC VIS 2 1/2 SLP082 931001 P0000 60000 T10391061 11022 21039 56027
JFK,2014-01-03 00:34,-73.7622,40.6386,24.80,19.40,79.62,20.00,16.00,0.01,29.75,M,1.50,M,BKN,OVC,M,M,1500.00,2400.00,M,M,-SN BR,M,M,M,M,M,M,11.03,KJFK 030034Z 02016KT 1 1/2SM R04R/5500VP6000FT -SN BR BKN015 OVC024 M04/M07 A2975 RMK AO2 SFC VIS 2 P0001 $
JFK,2014-01-03 00:51,-73.7622,40.6386,24.08,19.94,83.96,30.00,18.00,0.01,29.74,1007.20,1.50,24.00,OVC,M,M,M,1500.00,M,M,M,-SN BR,M,M,M,M,M,M,9.32,KJFK 030051Z 03018G24KT 1 1/2SM -SN BR OVC015 M04/M07 A2974 RMK AO2 SLP072 P0001 T10441067 $
JFK,2014-01-03 01:03,-73.7622,40.6386,24.80,19.40,79.62,30.00,17.00,0.01,29.73,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,M,M,10.64,KJFK 030103Z 03017KT 1 1/2SM R04R/4000V6000FT -SN BR OVC013 M04/M07 A2973 RMK AO2 P0001 $
JFK,2014-01-03 01:51,-73.7622,40.6386,23.00,19.94,87.85,20.00,16.00,0.03,29.72,1006.30,1.00,M,OVC,M,M,M,1100.00,M,M,M,-SN BR,M,M,M,M,M,M,8.69,KJFK 030151Z 02016KT 1SM R04R/4000V6000FT -SN BR OVC011 M05/M07 A2972 RMK AO2 SFC VIS 1 1/4 SLP063 SNINCR 1/1 P0003 T10501067 $
JFK,2014-01-03 02:51,-73.7622,40.6386,21.92,17.96,84.47,20.00,18.00,0.02,29.70,1005.80,1.00,26.00,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,26.00,30.00,2014-01-03 02:42,6.48,KJFK 030251Z 02018G26KT 1SM R04R/4000VP6000FT -SN BR OVC013 M06/M08 A2970 RMK AO2 PK WND 03026/0242 SLP058 P0002 60006 T10561078 56024 $
JFK,2014-01-03 03:51,-73.7622,40.6386,19.94,17.06,88.37,30.00,16.00,0.03,29.69,1005.20,1.00,25.00,OVC,M,M,M,1000.00,M,M,M,-SN BR,M,M,M,28.00,20.00,2014-01-03 03:42,4.70,KJFK 030351Z 03016G25KT 1SM R04R/5000VP6000FT -SN BR OVC010 M07/M08 A2969 RMK AO2 PK WND 02028/0342 SLP052 SNINCR 1/2 PRESENT WX DRSN P0003 T10671083 $
JFK,2014-01-03 04:51,-73.7622,40.6386,19.04,15.08,84.27,20.00,18.00,0.03,29.67,1004.80,1.00,24.00,VV ,M,M,M,1100.00,M,M,M,-SN BR,M,M,M,31.00,10.00,2014-01-03 04:11,2.69,KJFK 030451Z 02018G24KT 1SM R04R/4000V4500FT -SN BR VV011 M07/M09 A2967 RMK AO2 PK WND 01031/0411 SLP048 PRESENT WX DRSN P0003 T10721094 400061072 $
JFK,2014-01-03 04:57,-73.7622,40.6386,19.40,15.80,85.63,30.00,20.00,0.01,29.67,M,0.25,M,VV ,M,M,M,900.00,M,M,M,-SN BR,M,M,M,M,M,M,2.40,KJFK 030457Z 03020KT 1/4SM R04R/4000V5000FT -SN BR VV009 M07/M09 A2967 RMK AO2 SFC VIS 3/4 PRESENT WX DRSN P0001 $
JFK,2014-01-03 05:51,-73.7622,40.6386,17.96,12.92,80.29,10.00,20.00,0.04,29.64,1003.50,0.75,26.00,VV ,M,M,M,700.00,M,M,M,-SN,M,M,M,28.00,30.00,2014-01-03 05:34,0.49,KJFK 030551Z 01020G26KT 3/4SM R04R/4000V5500FT -SN VV007 M08/M11 A2964 RMK AO2 PK WND 03028/0534 SLP035 SNINCR 1/3 PRESENT WX DRSN 931028 4/003 P0004 60016 T10781106 11039 21078 58023 $
JFK,2014-01-03 06:51,-73.7622,40.6386,15.98,12.02,84.06,10.00,18.00,0.03,29.62,1003.10,0.75,26.00,VV ,M,M,M,1000.00,M,M,M,-SN BR,M,M,M,29.00,20.00,2014-01-03 06:23,-1.34,KJFK 030651Z 01018G26KT 3/4SM R04R/3500VP6000FT -SN BR VV010 M09/M11 A2962 RMK AO2 PK WND 02029/0623 SLP031 SNINCR 1/4 PRESENT WX DRSN P0003 T10891111 $
JFK,2014-01-03 07:45,-73.7622,40.6386,15.80,10.40,78.84,360.00,23.00,0.01,29.65,M,0.50,28.00,VV ,M,M,M,700.00,M,M,M,-SN BLSN FZFG,M,M,M,31.00,20.00,2014-01-03 06:56,-3.46,KJFK 030745Z 36023G28KT 1/2SM R04R/2800V4000FT -SN BLSN FZFG VV007 M09/M12 A2965 RMK AO2 PK WND 02031/0656 P0001 $
JFK,2014-01-03 07:51,-73.7622,40.6386,15.08,10.94,83.33,360.00,19.00,0.02,29.65,1004.10,0.50,28.00,VV ,M,M,M,700.00,M,M,M,-SN BLSN FZFG,M,M,M,31.00,20.00,2014-01-03 06:56,-2.94,KJFK 030751Z 36019G28KT 1/2SM R04R/2400V3500FT -SN BLSN FZFG VV007 M09/M12 A2965 RMK AO2 PK WND 02031/0656 SLP041 P0002 T10941117 $
JFK,2014-01-03 08:51,-73.7622,40.6386,10.94,6.08,80.35,350.00,22.00,0.01,29.68,1004.80,0.50,29.00,VV ,M,M,M,600.00,M,M,M,SN BLSN,M,M,M,29.00,330.00,2014-01-03 08:43,-9.62,KJFK 030851Z 35022G29KT 1/2SM R04R/2400V3500FT SN BLSN VV006 M12/M14 A2968 RMK AO2 PK WND 33029/0843 SLP048 SNINCR 1/5 P0001 60006 T11171144 51017 $
JFK,2014-01-03 09:51,-73.7622,40.6386,10.94,6.08,80.35,350.00,19.00,0.02,29.73,1006.70,0.50,26.00,VV ,M,M,M,800.00,M,M,M,SN BLSN,M,M,M,30.00,350.00,2014-01-03 09:08,-8.41,KJFK 030951Z 35019G26KT 1/2SM R04R/2200V4000FT SN BLSN VV008 M12/M14 A2973 RMK AO2 PK WND 35030/0908 SLP067 SNINCR 1/6 P0002 T11171144 $
JFK,2014-01-03 10:51,-73.7622,40.6386,12.02,6.98,79.79,340.00,18.00,0.01,29.78,1008.20,0.50,32.00,VV ,M,M,M,900.00,M,M,M,-SN BLSN,M,M,M,32.00,340.00,2014-01-03 10:43,-6.55,KJFK 031051Z 34018G32KT 1/2SM R04R/4000V5000FT -SN BLSN VV009 M11/M14 A2978 RMK AO2 PK WND 34032/1043 SLP082 SNINCR 1/7 P0001 T11111139 $
JFK,2014-01-03 11:27,-73.7622,40.6386,12.20,6.80,78.51,340.00,21.00,0.01,29.81,M,0.50,29.00,VV ,M,M,M,1200.00,M,M,M,-SN BLSN,M,M,M,29.00,340.00,2014-01-03 11:25,-7.55,KJFK 031127Z 34021G29KT 1/2SM R04R/2400V4500FT -SN BLSN VV012 M11/M14 A2981 RMK AO2 PK WND 34029/1125 SFC VIS 3/4 PRESRR P0001 $
JFK,2014-01-03 11:51,-73.7622,40.6386,12.02,6.98,79.79,350.00,23.00,0.01,29.83,1010.10,0.50,32.00,OVC,M,M,M,1400.00,M,M,M,-SN BLSN,M,M,M,33.00,330.00,2014-01-03 11:40,-8.54,KJFK 031151Z 35023G32KT 1/2SM R04R/3500V5000FT -SN BLSN OVC014 M11/M14 A2983 RMK AO2 PK WND 33033/1140 SFC VIS 3/4 SLP101 931042 4/007 P0001 60010 70026 T11111139 11083 21122 52052 $
JFK,2014-01-03 12:51,-73.7622,40.6386,10.94,6.08,80.35,350.00,25.00,0.0001,29.89,1012.10,0.50,38.00,OVC,M,M,M,1500.00,M,M,M,-SN BLSN,M,M,M,38.00,350.00,2014-01-03 12:44,-10.70,KJFK 031251Z 35025G38KT 1/2SM R04R/1600V3000FT -SN BLSN OVC015 M12/M14 A2989 RMK AO2 PK WND 35038/1244 SLP121 P0000 T11171144 $
